run,pop,Herbicide,Dose,rep,ve,surv,bio,ve_red,bio_red,selected
1,A1,Glyphosate,1x,1,9,1,1.9145,0.1,0.192795806,
1,A1,Glyphosate,1x,2,9,1,2.1792,0.1,0.081191236,
1,A1,Glyphosate,1x,3,8,1,0.9946,0.2,0.580650148,
1,A1,Glyphosate,1x,4,9,1,1.9769,0.1,0.166486304,
1,A1,Glyphosate,1x,5,9,1,1.2498,0.1,0.473051031,
1,A1,Glyphosate,1x,6,9,1,2.2653,0.1,0.044889183,
1,A1,Glyphosate,1x,7,9,1,2.2264,0.1,0.061290459,
1,A1,Glyphosate,1x,8,9,1,2.0881,0.1,0.119601422,
1,A1,Glyphosate,3x,1,9,1,2.029,0.1,0.144519556,
1,A1,Glyphosate,3x,2,8,1,3.1286,0.2,1.00E-10,
1,A1,Glyphosate,3x,3,1,0,0,0.9,1,
1,A1,Glyphosate,3x,4,4,0,0.2218,0.6,0.906483212,
1,A1,Glyphosate,3x,5,6,1,0.3355,0.4,0.858544264,
1,A1,Glyphosate,3x,6,2,0,0.0653,0.8,0.972467781,
1,A1,Glyphosate,3x,7,8,1,1.4421,0.2,0.391972229,
1,A1,Glyphosate,3x,8,8,1,2.0101,0.2,0.1524883,
1,A2,Glyphosate,1x,1,9,1,1.9244,0.1,0.316831595,
1,A2,Glyphosate,1x,2,9,1,2.8625,0.1,1.00E-10,
1,A2,Glyphosate,1x,3,9,1,2.5127,0.1,0.107983137,
1,A2,Glyphosate,1x,4,8,1,1.2523,0.2,0.555429332,
1,A2,Glyphosate,1x,5,9,1,2.2451,0.1,0.202982028,
1,A2,Glyphosate,1x,6,9,1,2.0873,0.1,0.259001553,
1,A2,Glyphosate,1x,7,8,1,2.4949,0.2,0.114302197,
1,A2,Glyphosate,1x,8,9,1,2.0815,0.1,0.261060572,
1,A2,Glyphosate,3x,1,7,1,1.6346,0.3,0.41971156,
1,A2,Glyphosate,3x,2,7,1,0.623,0.3,0.778832927,
1,A2,Glyphosate,3x,3,4,0,0.185,0.6,0.934324384,
1,A2,Glyphosate,3x,4,7,1,0.6813,0.3,0.758136233,
1,A2,Glyphosate,3x,5,1,0,0,0.9,1,
1,A2,Glyphosate,3x,6,7,1,1.7115,0.3,0.392411804,
1,A2,Glyphosate,3x,7,5,1,0.3152,0.5,0.888102951,
1,A2,Glyphosate,3x,8,7,1,0.3372,0.3,0.880292878,
1,A3,Glyphosate,1x,1,9,1,2.4634,0.1,1.00E-10,
1,A3,Glyphosate,1x,2,9,1,2.1441,0.1,0.127270507,
1,A3,Glyphosate,1x,3,9,1,3.0022,0.1,1.00E-10,
1,A3,Glyphosate,1x,4,9,1,2.2257,0.1,0.094056232,
1,A3,Glyphosate,1x,5,9,1,2.4988,0.1,1.00E-10,
1,A3,Glyphosate,1x,6,9,1,2.1963,0.1,0.10602314,
1,A3,Glyphosate,1x,7,9,1,2.123,0.1,0.135859002,
1,A3,Glyphosate,1x,8,9,1,1.8427,0.1,0.249951664,
1,A3,Glyphosate,3x,1,2,0,0.1118,0.8,0.954493187,
1,A3,Glyphosate,3x,2,8,1,1.6566,0.2,0.325701377,
1,A3,Glyphosate,3x,3,9,1,3.2662,0.1,1.00E-10,
1,A3,Glyphosate,3x,4,1,0,0,0.9,1,
1,A3,Glyphosate,3x,5,9,1,3.398,0.1,1.00E-10,
1,A3,Glyphosate,3x,6,9,1,2.7231,0.1,1.00E-10,
1,A3,Glyphosate,3x,7,9,1,2.141,0.1,0.128532324,
1,A3,Glyphosate,3x,8,9,1,2.2071,0.1,0.101627133,
1,A5,Glyphosate,1x,1,9,1,2.7845,0.1,1.00E-10,
1,A5,Glyphosate,1x,2,9,1,2.7033,0.1,1.00E-10,
1,A5,Glyphosate,1x,3,9,1,2.3714,0.1,1.00E-10,
1,A5,Glyphosate,1x,4,9,1,2.5892,0.1,1.00E-10,
1,A5,Glyphosate,1x,5,9,1,2.3833,0.1,1.00E-10,
1,A5,Glyphosate,1x,6,8,1,2.3922,0.2,1.00E-10,
1,A5,Glyphosate,1x,7,9,1,2.1538,0.1,0.050907208,
1,A5,Glyphosate,1x,8,9,1,2.7441,0.1,1.00E-10,
1,A5,Glyphosate,3x,1,8,1,1.5183,0.2,0.330946427,
1,A5,Glyphosate,3x,2,7,1,0.3395,0.3,0.850396043,
1,A5,Glyphosate,3x,3,8,1,0.6893,0.2,0.696253291,
1,A5,Glyphosate,3x,4,4,0,0.1222,0.6,0.946151389,
1,A5,Glyphosate,3x,5,4,0,0.1472,0.6,0.935134897,
1,A5,Glyphosate,3x,6,3,0,0.1451,0.7,0.936060282,
1,A5,Glyphosate,3x,7,7,1,1.3591,0.3,0.401099446,
1,A5,Glyphosate,3x,8,7,1,0.9193,0.3,0.594901568,
1,A6,Glyphosate,1x,1,9,1,2.3004,0.1,0.048300685,
1,A6,Glyphosate,1x,2,9,1,2.2471,0.1,0.070351447,
1,A6,Glyphosate,1x,3,8,1,1.632,0.2,0.32482469,
1,A6,Glyphosate,1x,4,9,1,1.851,0.1,0.234222121,
1,A6,Glyphosate,1x,5,9,1,2.997,0.1,1.00E-10,
1,A6,Glyphosate,1x,6,9,1,2.5524,0.1,1.00E-10,
1,A6,Glyphosate,1x,7,9,1,3.0696,0.1,1.00E-10,
1,A6,Glyphosate,1x,8,9,1,3.2138,0.1,1.00E-10,
1,A6,Glyphosate,3x,1,9,1,3.1974,0.1,1.00E-10,
1,A6,Glyphosate,3x,2,9,1,2.808,0.1,1.00E-10,
1,A6,Glyphosate,3x,3,8,1,2.4259,0.2,1.00E-10,
1,A6,Glyphosate,3x,4,1,0,0,0.9,1,
1,A6,Glyphosate,3x,5,9,1,2.3712,0.1,0.019009991,
1,A6,Glyphosate,3x,6,9,1,3.0745,0.1,1.00E-10,
1,A6,Glyphosate,3x,7,9,1,2.8755,0.1,1.00E-10,
