"","Herb","response","SE","df","lower.CL","upper.CL",".group","SOA"
"1","Authority Assist",0.990000015462395,0.00592750354437662,27,0.966644598744522,0.997051869759326," a  ","2 + 14"
"2","Spartan",0.990000014255367,0.00684449235186379,27,0.959942592340502,0.997560896674086," a  ","14"
"3","Pursuit",0.989999985573461,0.00684451178483022,27,0.959942480936907,0.997560889624797," a  ","2"
"4","Fierce",0.989999958166947,0.00592753716328405,27,0.966644412141501,0.99705185274754," a  ","14 + 15"
"5","Valor SX",0.979766911613076,0.0118692216397712,27,0.934102468874376,0.993991213931304," a  ","14"
"6","Broadaxe XC",0.971578484294821,0.0165334092580342,27,0.90914711459742,0.991509543695625," a  ","14 + 15"
"7","Tricor DF",0.967081365276931,0.0190608437942405,27,0.895830654991476,0.990134079873815," a  ","5"
"8","Zidua",0.837542917787668,0.0814672416370362,27,0.601459102811822,0.946270632687794,"  b ","15"
"9","Outlook",0.309553974209193,0.12796859764291,27,0.116015516564235,0.604990967244902,"   c","15"
"10","Dual II Magnum",0.108683799526033,0.066973542913137,27,0.0286699181298812,0.334991407631645,"   c","15"
"11","Warrant",0.0672122646788034,0.0433449011549,27,0.0171428375664903,0.229389698549954,"   c","15"
