"","Herb","rate","SE","df","lower.CL","upper.CL",".group","SOA"
"1","Spartan",1.04384393108122,0.568366442486426,32,0.344318773897185,3.16453889551915," a      ","14"
"2","Dual II Magnum",1.29653005371528,0.705879975738959,32,0.427717644261925,3.93013990126056," ab     ","15"
"3","Fierce",1.38829218145719,0.640029976116778,32,0.542812158032133,3.55068535694272," a      ","14 + 15"
"4","Authority Assist",2.31382181550409,0.883723397291124,32,1.06282439672669,5.03730570204382," abc    ","2 + 14"
"5","Valor SX",2.31382529717327,0.883724203960662,32,1.06282648541283,5.03731096215526," abc    ","14"
"6","Warrant",2.77659111225634,0.998050181831401,32,1.33515175604047,5.77421867572876," abcd   ","15"
"7","Broadaxe XC",3.70211724674992,1.21873469178366,32,1.8933499053803,7.23884796451835,"  bcd   ","14 + 15"
"8","Zidua",4.62765194473137,1.43287058746663,32,2.46292387744031,8.69501600018291,"   cd   ","15"
"9","Tricor DF",5.09041233190359,1.53833881294591,32,2.7505230516045,9.42086185886728,"    d   ","5"
"10","Outlook",8.79252656877162,2.36236098731937,32,5.08666466282162,15.1982740335926,"     e  ","15"
"11","Nontreated",63.3987633330111,14.1084485955157,32,40.2920927389215,99.7566251571856,"      f ","none"
"12","Pursuit",96.0689080624071,21.4852715690396,32,60.9172890946859,151.504363268003,"       g","2"
