"","Herb","response","SE","df","lower.CL","upper.CL",".group","SOA"
"1","Fierce",0.981458411184749,0.0108050706281545,27,0.939954823775257,0.994444037646078," a  ","14 + 15"
"2","Warrant",0.972990047018804,0.0175813274855051,27,0.901278799660514,0.993013898101854," ab ","15"
"3","Spartan",0.968877800499569,0.0202474023468396,27,0.887000651202566,0.991965715351841," ab ","14"
"4","Dual II Magnum",0.967253666906424,0.0211750195853881,27,0.882255012668972,0.991485043082404," ab ","15"
"5","Zidua",0.96475726230444,0.0201881469316786,27,0.890057469526317,0.989312187114921," ab ","15"
"6","Broadaxe XC",0.96427352588152,0.0204549849204184,27,0.888666737162306,0.989161701480786," ab ","14 + 15"
"7","Valor SX",0.931419756332053,0.0379274140017817,27,0.800658767053856,0.978689078854735," ab ","14"
"8","Authority Assist",0.924943360457371,0.0412204774963048,27,0.784688446881406,0.976564258237041," ab ","2 + 14"
"9","Outlook",0.917313081401268,0.0450363471004403,27,0.766400833964559,0.974034455011768,"  b ","15"
"10","Tricor DF",0.91550815758591,0.0459288701291224,27,0.762155860979387,0.973431808253475,"  b ","5"
"11","Pursuit",0.00944701320330034,0.00626024993073466,27,0.00241119611405372,0.0362668189431757,"   c","2"
